#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.173151074155 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.17287323      0.8860749887E-02
  -0.3990000000     -6.14566185      0.1335992330E-01
  -0.3980000000     -6.11845046      0.2280634104E-01
  -0.3970000000     -6.09123908      0.4624318538E-01
  -0.3960000000     -6.06402770      0.1215866296E+00
  -0.3950000000     -6.03681631      0.5994799518E+00
  -0.3940000000     -6.00960493      0.6387746184E+00
  -0.3930000000     -5.98239354      0.1776015146E+00
  -0.3920000000     -5.95518216      0.8677698837E-01
  -0.3910000000     -5.92797078      0.5488037999E-01
  -0.3900000000     -5.90075939      0.4162883832E-01
  -0.3890000000     -5.87354801      0.3577649862E-01
  -0.3880000000     -5.84633662      0.3385639133E-01
  -0.3870000000     -5.81912524      0.3450023851E-01
  -0.3860000000     -5.79191386      0.3563290284E-01
  -0.3850000000     -5.76470247      0.1791794456E-01
  -0.3840000000     -5.73749109      0.2249531154E+00
  -0.3830000000     -5.71027970      0.3275164352E+00
  -0.3820000000     -5.68306832      0.6818458977E+00
  -0.3810000000     -5.65585694      0.2134564555E+00
  -0.3800000000     -5.62864555      0.1700628593E+00
  -0.3790000000     -5.60143417      0.1119748301E+00
  -0.3780000000     -5.57422278      0.1109997398E+00
  -0.3770000000     -5.54701140      0.2243377171E+00
  -0.3760000000     -5.51980002      0.9516601278E+00
  -0.3750000000     -5.49258863      0.9482996523E-01
  -0.3740000000     -5.46537725      0.2654393115E-01
  -0.3730000000     -5.43816586      0.1394267124E-01
  -0.3720000000     -5.41095448      0.1089229973E-01
  -0.3710000000     -5.38374310      0.1223556088E-01
  -0.3700000000     -5.35653171      0.2119803555E-01
  -0.3690000000     -5.32932033      0.7446787584E-01
  -0.3680000000     -5.30210894      0.9990386195E+00
  -0.3670000000     -5.27489756      0.8458537194E-01
  -0.3660000000     -5.24768618      0.2873109052E-01
  -0.3650000000     -5.22047479      0.2046669910E-01
  -0.3640000000     -5.19326341      0.1310136263E+00
  -0.3630000000     -5.16605202      0.2870416721E-01
  -0.3620000000     -5.13884064      0.9938644075E-01
  -0.3610000000     -5.11162926      0.2351320597E-01
  -0.3600000000     -5.08441787      0.2950668641E-01
  -0.3590000000     -5.05720649      0.4092158955E-01
  -0.3580000000     -5.02999510      0.8109233445E-01
  -0.3570000000     -5.00278372      0.1019073781E+01
  -0.3560000000     -4.97557234      0.6565764674E-01
  -0.3550000000     -4.94836095      0.4942214351E-01
  -0.3540000000     -4.92114957      0.6693781284E-01
  -0.3530000000     -4.89393818      0.1389101205E+00
  -0.3520000000     -4.86672680      0.4366776686E+00
  -0.3510000000     -4.83951542      0.1012137928E+01
  -0.3500000000     -4.81230403      0.1058811010E+01
  -0.3490000000     -4.78509265      0.9225329014E+00
  -0.3480000000     -4.75788126      0.6806410345E+00
  -0.3470000000     -4.73066988      0.1023378731E+01
  -0.3460000000     -4.70345850      0.2294710334E+00
  -0.3450000000     -4.67624711      0.2432352396E+00
  -0.3440000000     -4.64903573      0.9768900387E+00
  -0.3430000000     -4.62182434      0.6818188061E+00
  -0.3420000000     -4.59461296      0.3859582249E+00
  -0.3410000000     -4.56740158      0.2849387823E+00
  -0.3400000000     -4.54019019      0.2669653249E+00
  -0.3390000000     -4.51297881      0.8492766580E+00
  -0.3380000000     -4.48576742      0.5975194309E+00
  -0.3370000000     -4.45855604      0.6436329940E+00
  -0.3360000000     -4.43134466      0.8840745369E+00
  -0.3350000000     -4.40413327      0.1232065230E+01
  -0.3340000000     -4.37692189      0.1677778179E+01
  -0.3330000000     -4.34971050      0.1961412363E+01
  -0.3320000000     -4.32249912      0.1606333988E+01
  -0.3310000000     -4.29528774      0.1421213036E+01
  -0.3300000000     -4.26807635      0.1446193530E+01
  -0.3290000000     -4.24086497      0.1673704779E+01
  -0.3280000000     -4.21365358      0.1759054204E+01
  -0.3270000000     -4.18644220      0.1279260667E+01
  -0.3260000000     -4.15923082      0.1149224887E+01
  -0.3250000000     -4.13201943      0.1037727558E+01
  -0.3240000000     -4.10480805      0.8175989677E+00
  -0.3230000000     -4.07759666      0.6605252335E+00
  -0.3220000000     -4.05038528      0.5883968630E+00
  -0.3210000000     -4.02317390      0.5465301911E+00
  -0.3200000000     -3.99596251      0.8746891043E+00
  -0.3190000000     -3.96875113      0.1032274330E+01
  -0.3180000000     -3.94153974      0.8355599660E+00
  -0.3170000000     -3.91432836      0.8045219269E+00
  -0.3160000000     -3.88711698      0.8904138982E+00
  -0.3150000000     -3.85990559      0.1134120423E+01
  -0.3140000000     -3.83269421      0.1135157205E+01
  -0.3130000000     -3.80548282      0.8699654979E+00
  -0.3120000000     -3.77827144      0.7133678829E+00
  -0.3110000000     -3.75106006      0.6636580869E+00
  -0.3100000000     -3.72384867      0.6855804060E+00
  -0.3090000000     -3.69663729      0.7607191724E+00
  -0.3080000000     -3.66942590      0.8649789037E+00
  -0.3070000000     -3.64221452      0.9599063364E+00
  -0.3060000000     -3.61500314      0.1011485352E+01
  -0.3050000000     -3.58779175      0.1013360818E+01
  -0.3040000000     -3.56058037      0.9857516435E+00
  -0.3030000000     -3.53336898      0.9534149297E+00
  -0.3020000000     -3.50615760      0.9316739939E+00
  -0.3010000000     -3.47894622      0.9270509752E+00
  -0.3000000000     -3.45173483      0.9397320514E+00
  -0.2990000000     -3.42452345      0.9635656655E+00
  -0.2980000000     -3.39731206      0.9855511088E+00
  -0.2970000000     -3.37010068      0.9878127503E+00
  -0.2960000000     -3.34288930      0.9554424587E+00
  -0.2950000000     -3.31567791      0.8874165275E+00
  -0.2940000000     -3.28846653      0.7989975438E+00
  -0.2930000000     -3.26125514      0.7114231666E+00
  -0.2920000000     -3.23404376      0.6407596703E+00
  -0.2910000000     -3.20683238      0.5955072440E+00
  -0.2900000000     -3.17962099      0.5807040160E+00
  -0.2890000000     -3.15240961      0.6033793688E+00
  -0.2880000000     -3.12519822      0.6769732714E+00
  -0.2870000000     -3.09798684      0.8223980959E+00
  -0.2860000000     -3.07077546      0.1054390257E+01
  -0.2850000000     -3.04356407      0.1331105266E+01
  -0.2840000000     -3.01635269      0.1514117820E+01
  -0.2830000000     -2.98914130      0.1518428598E+01
  -0.2820000000     -2.96192992      0.1453446052E+01
  -0.2810000000     -2.93471854      0.1424362774E+01
  -0.2800000000     -2.90750715      0.1418565979E+01
  -0.2790000000     -2.88029577      0.1368629659E+01
  -0.2780000000     -2.85308438      0.1278000200E+01
  -0.2770000000     -2.82587300      0.1220601501E+01
  -0.2760000000     -2.79866162      0.1197301427E+01
  -0.2750000000     -2.77145023      0.1136079777E+01
  -0.2740000000     -2.74423885      0.1000566627E+01
  -0.2730000000     -2.71702746      0.8290095182E+00
  -0.2720000000     -2.68981608      0.6707822975E+00
  -0.2710000000     -2.66260470      0.5458135536E+00
  -0.2700000000     -2.63539331      0.4533148719E+00
  -0.2690000000     -2.60818193      0.3862914166E+00
  -0.2680000000     -2.58097054      0.3379029344E+00
  -0.2670000000     -2.55375916      0.3029586926E+00
  -0.2660000000     -2.52654778      0.2778202766E+00
  -0.2650000000     -2.49933639      0.2599967588E+00
  -0.2640000000     -2.47212501      0.2477926420E+00
  -0.2630000000     -2.44491362      0.2400893207E+00
  -0.2620000000     -2.41770224      0.2362866520E+00
  -0.2610000000     -2.39049086      0.2364671631E+00
  -0.2600000000     -2.36327947      0.2424468800E+00
  -0.2590000000     -2.33606809      0.2674981037E+00
  -0.2580000000     -2.30885670      0.7463717793E+00
  -0.2570000000     -2.28164532      0.1039768905E+01
  -0.2560000000     -2.25443394      0.5256040534E+00
  -0.2550000000     -2.22722255      0.5398573106E+00
  -0.2540000000     -2.20001117      0.7957730898E+00
  -0.2530000000     -2.17279978      0.5344024340E+00
  -0.2520000000     -2.14558840      0.3540933792E+00
  -0.2510000000     -2.11837702      0.3507824529E+00
  -0.2500000000     -2.09116563      0.4064913932E+00
  -0.2490000000     -2.06395425      0.4686522751E+00
  -0.2480000000     -2.03674286      0.5336878654E+00
  -0.2470000000     -2.00953148      0.5996339590E+00
  -0.2460000000     -1.98232010      0.6640012335E+00
  -0.2450000000     -1.95510871      0.7243639902E+00
  -0.2440000000     -1.92789733      0.7792945883E+00
  -0.2430000000     -1.90068594      0.8290472567E+00
  -0.2420000000     -1.87347456      0.8757400996E+00
  -0.2410000000     -1.84626318      0.9229678518E+00
  -0.2400000000     -1.81905179      0.9742436372E+00
  -0.2390000000     -1.79184041      0.1027556253E+01
  -0.2380000000     -1.76462902      0.1062721984E+01
  -0.2370000000     -1.73741764      0.1036942648E+01
  -0.2360000000     -1.71020626      0.9288510618E+00
  -0.2350000000     -1.68299487      0.7795872578E+00
  -0.2340000000     -1.65578349      0.6416311811E+00
  -0.2330000000     -1.62857210      0.5345089587E+00
  -0.2320000000     -1.60136072      0.4562680549E+00
  -0.2310000000     -1.57414934      0.4002718122E+00
  -0.2300000000     -1.54693795      0.3615124350E+00
  -0.2290000000     -1.51972657      0.3386218782E+00
  -0.2280000000     -1.49251518      0.3385562603E+00
  -0.2270000000     -1.46530380      0.4098398017E+00
  -0.2260000000     -1.43809242      0.1002978042E+01
  -0.2250000000     -1.41088103      0.5343775509E+00
  -0.2240000000     -1.38366965      0.2890409419E+00
  -0.2230000000     -1.35645826      0.2417920357E+00
  -0.2220000000     -1.32924688      0.2247629892E+00
  -0.2210000000     -1.30203550      0.2170943610E+00
  -0.2200000000     -1.27482411      0.2139961329E+00
  -0.2190000000     -1.24761273      0.2139429271E+00
  -0.2180000000     -1.22040134      0.2163820049E+00
  -0.2170000000     -1.19318996      0.2211472082E+00
  -0.2160000000     -1.16597858      0.2282742363E+00
  -0.2150000000     -1.13876719      0.2379375495E+00
  -0.2140000000     -1.11155581      0.2504327124E+00
  -0.2130000000     -1.08434442      0.2661796779E+00
  -0.2120000000     -1.05713304      0.2857378927E+00
  -0.2110000000     -1.02992166      0.3098285858E+00
  -0.2100000000     -1.00271027      0.3393593161E+00
  -0.2090000000     -0.97549889      0.3754414502E+00
  -0.2080000000     -0.94828750      0.4193807022E+00
  -0.2070000000     -0.92107612      0.4725999638E+00
  -0.2060000000     -0.89386474      0.5364169366E+00
  -0.2050000000     -0.86665335      0.6115461481E+00
  -0.2040000000     -0.83944197      0.6971526938E+00
  -0.2030000000     -0.81223058      0.7893603352E+00
  -0.2020000000     -0.78501920      0.8795494368E+00
  -0.2010000000     -0.75780782      0.9537734401E+00
  -0.2000000000     -0.73059643      0.9955256212E+00
  -0.1990000000     -0.70338505      0.9926474892E+00
  -0.1980000000     -0.67617366      0.9443888173E+00
  -0.1970000000     -0.64896228      0.8621120451E+00
  -0.1960000000     -0.62175090      0.7627991283E+00
  -0.1950000000     -0.59453951      0.6614780912E+00
  -0.1940000000     -0.56732813      0.5676363224E+00
  -0.1930000000     -0.54011674      0.4855145561E+00
  -0.1920000000     -0.51290536      0.4159169576E+00
  -0.1910000000     -0.48569398      0.3579013078E+00
  -0.1900000000     -0.45848259      0.3098680711E+00
  -0.1890000000     -0.43127121      0.2701295054E+00
  -0.1880000000     -0.40405982      0.2371561215E+00
  -0.1870000000     -0.37684844      0.2096546471E+00
  -0.1860000000     -0.34963706      0.1865691097E+00
  -0.1850000000     -0.32242567      0.1670524089E+00
  -0.1840000000     -0.29521429      0.1504304999E+00
  -0.1830000000     -0.26800290      0.1361684210E+00
  -0.1820000000     -0.24079152      0.1238413017E+00
  -0.1810000000     -0.21358014      0.1131108362E+00
  -0.1800000000     -0.18636875      0.1037066763E+00
  -0.1790000000     -0.15915737      0.9541190600E-01
  -0.1780000000     -0.13194598      0.8805176840E-01
  -0.1770000000     -0.10473460      0.8148492727E-01
  -0.1760000000     -0.07752322      0.7559668521E-01
  -0.1750000000     -0.05031183      0.7029370466E-01
  -0.1740000000     -0.02310045      0.6549988426E-01
  -0.1730000000      0.00411094      0.6115312635E-01
  -0.1720000000      0.03132232      0.5720279694E-01
  -0.1710000000      0.05853370      0.5360772922E-01
  -0.1700000000      0.08574509      0.5033466005E-01
  -0.1690000000      0.11295647      0.4735701830E-01
  -0.1680000000      0.14016786      0.4465400671E-01
  -0.1670000000      0.16737924      0.4220993732E-01
  -0.1660000000      0.19459062      0.4001379609E-01
  -0.1650000000      0.22180201      0.3805902589E-01
  -0.1640000000      0.24901339      0.3634353101E-01
  -0.1630000000      0.27622478      0.3486992113E-01
  -0.1620000000      0.30343616      0.3364603085E-01
  -0.1610000000      0.33064754      0.3268577396E-01
  -0.1600000000      0.35785893      0.3201042369E-01
  -0.1590000000      0.38507031      0.3165045478E-01
  -0.1580000000      0.41228170      0.3164814842E-01
  -0.1570000000      0.43949308      0.3206125737E-01
  -0.1560000000      0.46670446      0.3296817244E-01
  -0.1550000000      0.49391585      0.3447525087E-01
  -0.1540000000      0.52112723      0.3672730408E-01
  -0.1530000000      0.54833862      0.3992276563E-01
  -0.1520000000      0.57555000      0.4433587923E-01
  -0.1510000000      0.60276138      0.5034953002E-01
  -0.1500000000      0.62997277      0.5850434302E-01
  -0.1490000000      0.65718415      0.6957271718E-01
  -0.1480000000      0.68439554      0.8467083078E-01
  -0.1470000000      0.71160692      0.1054269842E+00
  -0.1460000000      0.73881830      0.1342279005E+00
  -0.1450000000      0.76602969      0.1745536145E+00
  -0.1440000000      0.79324107      0.2313469346E+00
  -0.1430000000      0.82045246      0.3111366452E+00
  -0.1420000000      0.84766384      0.4210190665E+00
  -0.1410000000      0.87487522      0.5644667072E+00
  -0.1400000000      0.90208661      0.7317487495E+00
  -0.1390000000      0.92929799      0.8895144821E+00
  -0.1380000000      0.95650938      0.9892769693E+00
  -0.1370000000      0.98372076      0.1003752319E+01
  -0.1360000000      1.01093214      0.9487000251E+00
  -0.1350000000      1.03814353      0.8607654781E+00
  -0.1340000000      1.06535491      0.7689266995E+00
  -0.1330000000      1.09256630      0.6872899682E+00
  -0.1320000000      1.11977768      0.6199926093E+00
  -0.1310000000      1.14698906      0.5666426996E+00
  -0.1300000000      1.17420045      0.5253742519E+00
  -0.1290000000      1.20141183      0.4941521501E+00
  -0.1280000000      1.22862322      0.4712185173E+00
  -0.1270000000      1.25583460      0.4551893783E+00
  -0.1260000000      1.28304598      0.4450302359E+00
  -0.1250000000      1.31025737      0.4400015000E+00
  -0.1240000000      1.33746875      0.4396063360E+00
  -0.1230000000      1.36468014      0.4435508474E+00
  -0.1220000000      1.39189152      0.4517186234E+00
  -0.1210000000      1.41910290      0.4641596083E+00
  -0.1200000000      1.44631429      0.4810933469E+00
  -0.1190000000      1.47352567      0.5029273576E+00
  -0.1180000000      1.50073706      0.5302915599E+00
  -0.1170000000      1.52794844      0.5640873950E+00
  -0.1160000000      1.55515982      0.6055407071E+00
  -0.1150000000      1.58237121      0.6562185875E+00
  -0.1140000000      1.60958259      0.7178946369E+00
  -0.1130000000      1.63679398      0.7919723370E+00
  -0.1120000000      1.66400536      0.8778565795E+00
  -0.1110000000      1.69121674      0.9694166848E+00
  -0.1100000000      1.71842813      0.1049872750E+01
  -0.1090000000      1.74563951      0.1090984344E+01
  -0.1080000000      1.77285090      0.1068524392E+01
  -0.1070000000      1.80006228      0.9886317038E+00
  -0.1060000000      1.82727366      0.8873779075E+00
  -0.1050000000      1.85448505      0.7986842905E+00
  -0.1040000000      1.88169643      0.7352179624E+00
  -0.1030000000      1.90890782      0.6943469918E+00
  -0.1020000000      1.93611920      0.6690660301E+00
  -0.1010000000      1.96333058      0.6535675873E+00
  -0.1000000000      1.99054197      0.6445551584E+00
  -0.0990000000      2.01775335      0.6410505823E+00
  -0.0980000000      2.04496474      0.6441913098E+00
  -0.0970000000      2.07217612      0.6577432541E+00
  -0.0960000000      2.09938750      0.6902004808E+00
  -0.0950000000      2.12659889      0.7605379965E+00
  -0.0940000000      2.15381027      0.9107256381E+00
  -0.0930000000      2.18102166      0.1198940284E+01
  -0.0920000000      2.20823304      0.1451508991E+01
  -0.0910000000      2.23544442      0.1242086724E+01
  -0.0900000000      2.26265581      0.9263013504E+00
  -0.0890000000      2.28986719      0.7230156958E+00
  -0.0880000000      2.31707858      0.5610238448E+00
  -0.0870000000      2.34428996      0.1024159500E+01
  -0.0860000000      2.37150134      0.9501453164E+00
  -0.0850000000      2.39871273      0.8141732023E+00
  -0.0840000000      2.42592411      0.7768073090E+00
  -0.0830000000      2.45313550      0.7711545625E+00
  -0.0820000000      2.48034688      0.7831358684E+00
  -0.0810000000      2.50755826      0.8088026490E+00
  -0.0800000000      2.53476965      0.8477375211E+00
  -0.0790000000      2.56198103      0.9015858674E+00
  -0.0780000000      2.58919242      0.9738509595E+00
  -0.0770000000      2.61640380      0.1069985503E+01
  -0.0760000000      2.64361518      0.1196670204E+01
  -0.0750000000      2.67082657      0.1357051329E+01
  -0.0740000000      2.69803795      0.1535080811E+01
  -0.0730000000      2.72524934      0.1672310131E+01
  -0.0720000000      2.75246072      0.1694152497E+01
  -0.0710000000      2.77967210      0.1607594214E+01
  -0.0700000000      2.80688349      0.1492043829E+01
  -0.0690000000      2.83409487      0.1397934098E+01
  -0.0680000000      2.86130626      0.1329623983E+01
  -0.0670000000      2.88851764      0.1272888373E+01
  -0.0660000000      2.91572902      0.1208528557E+01
  -0.0650000000      2.94294041      0.1107889415E+01
  -0.0640000000      2.97015179      0.8917820705E+00
  -0.0630000000      2.99736318      0.3027130908E+00
  -0.0620000000      3.02457456      0.8737832723E+00
  -0.0610000000      3.05178594      0.1140169848E+01
  -0.0600000000      3.07899733      0.1120576631E+01
  -0.0590000000      3.10620871      0.1076025887E+01
  -0.0580000000      3.13342010      0.1040299028E+01
  -0.0570000000      3.16063148      0.1024716643E+01
  -0.0560000000      3.18784286      0.1039469712E+01
  -0.0550000000      3.21505425      0.1097431312E+01
  -0.0540000000      3.24226563      0.1207042022E+01
  -0.0530000000      3.26947702      0.1321822955E+01
  -0.0520000000      3.29668840      0.1263683895E+01
  -0.0510000000      3.32389978      0.1009451981E+01
  -0.0500000000      3.35111117      0.8433699234E+00
  -0.0490000000      3.37832255      0.9329493176E+00
  -0.0480000000      3.40553394      0.1348074132E+01
  -0.0470000000      3.43274532      0.1143828699E+01
  -0.0460000000      3.45995670      0.7572614721E+00
  -0.0450000000      3.48716809      0.6225272260E+00
  -0.0440000000      3.51437947      0.5925208141E+00
  -0.0430000000      3.54159086      0.6115825803E+00
  -0.0420000000      3.56880224      0.6633458656E+00
  -0.0410000000      3.59601362      0.7420608408E+00
  -0.0400000000      3.62322501      0.8407117455E+00
  -0.0390000000      3.65043639      0.9405168461E+00
  -0.0380000000      3.67764778      0.1003145835E+01
  -0.0370000000      3.70485916      0.9840546185E+00
  -0.0360000000      3.73207054      0.8739247995E+00
  -0.0350000000      3.75928193      0.7144302850E+00
  -0.0340000000      3.78649331      0.5571314345E+00
  -0.0330000000      3.81370470      0.4287252751E+00
  -0.0320000000      3.84091608      0.3342268839E+00
  -0.0310000000      3.86812746      0.2831441298E+00
  -0.0300000000      3.89533885      0.1117646308E+01
  -0.0290000000      3.92255023      0.2789014430E+00
  -0.0280000000      3.94976162      0.2517958046E+00
  -0.0270000000      3.97697300      0.3341064680E+00
  -0.0260000000      4.00418438      0.7185277276E+00
  -0.0250000000      4.03139577      0.1037401374E+01
  -0.0240000000      4.05860715      0.5983366695E+00
  -0.0230000000      4.08581854      0.4103066346E+00
  -0.0220000000      4.11302992      0.3521942753E+00
  -0.0210000000      4.14024130      0.3503223804E+00
  -0.0200000000      4.16745269      0.3911780578E+00
  -0.0190000000      4.19466407      0.4918377243E+00
  -0.0180000000      4.22187546      0.7154770115E+00
  -0.0170000000      4.24908684      0.1150993609E+01
  -0.0160000000      4.27629822      0.1263848431E+01
  -0.0150000000      4.30350961      0.9139230261E+00
  -0.0140000000      4.33072099      0.8080748916E+00
  -0.0130000000      4.35793238      0.8680104799E+00
  -0.0120000000      4.38514376      0.9380956891E+00
  -0.0110000000      4.41235514      0.1010823908E+01
  -0.0100000000      4.43956653      0.1204447874E+01
  -0.0090000000      4.46677791      0.1206049718E+01
  -0.0080000000      4.49398930      0.6202857056E+00
  -0.0070000000      4.52120068      0.4251139622E+00
  -0.0060000000      4.54841206      0.3392402570E+00
  -0.0050000000      4.57562345      0.4000338238E+00
  -0.0040000000      4.60283483      0.1110810240E+01
  -0.0030000000      4.63004622      0.8568740543E+00
  -0.0020000000      4.65725760      0.8010595915E+00
  -0.0010000000      4.68446898      0.1023230162E+01
   0.0000000000      4.71168037      0.1107461156E+01
#end
